job_id,company_name,title,description,location,company_id,views,skills_desc,work_type,zip_code,fips,city,state
3903466305,cabela's,firearms outfitter - part time,"position summary:

the sales outfitter - firearms is responsible for maintaining counter sales and customer service for firearms along with floor and counter sales of other hunting merchandise. they perform various selling/customer service activities, to include greeting and acknowledging all customers in a prompt and friendly manner, handling merchandise with care, providing information, assistance and direction to customers.

essential functions:

supports a strong commitment to world class customer service and ensures a pleasant and productive shopping experience for all customers. provides a legendary experience for every customer, every time by assisting customers in making buying decisions by:identifying and evaluating customers’ needs,making product recommendations based off of this analysis,promoting programs including, but not limited to club membership, voc and in store pick up. insures 4473 forms are completed thoroughly and accurately.obtains the ability to demonstrate product to customers.organizes and maintains merchandise within the retail store for sales at gun counter responsibility.replenishes product on shelves as required per merchandising guidelines.remains product “expert” through ongoing product knowledge training.remains knowledgeable of advertised sales; maintains pricing and signing.assists with seasonal floor merchandise moves.keeps work area clean, neat and well stocked with supplies.follows all company policies and procedures.all other duties as assigned

experience/qualifications:

minimum degree required: high school diploma or equivalentexperience: 0-2 years of experience in retailmust be 21 years of age or older

knowledge, skills, and ability: 

knowledge and experience product knowledge of firearms and ammunitionknowledge in atf federal and state regulationscustomer service and sales of firearms and ammunitiongcaability to merchandise and stock merchandise

travel requirements:

n/a

physical requirements:

constantly stand and/or walk during shiftoccasionally ascend or descend ladders, stairs, ramps, etc.constantly communicate with others to exchange informationoccasionally repeat motions that may include the wrists, hands and/or fingersoccasionally operate machinery and/or power toolsoccasionally operate motor vehicles or heavy equipmentlight work that includes moving objects up to 20 pounds constantly, may occasionally move and lift objects up to 100 pounds or more (utilizing a team lift as needed)occasionally work in tight and confined spacesoccasionally work in noisy environments

independent judgement:

performs tasks and duties under general supervision, using established procedures and innovation. chooses from limited alternatives to resolve problems. occasional independent judgment is required to complete work assignments. often makes recommendations to work procedures, policies, and practices. 

part time benefits summary:

enjoy discounts on retail merchandise, our restaurants, world-class resorts and conservation attractions!

dentalvisionvoluntary benefits401k retirement savingspaid holidayspaid vacationbass pro cares fundand more!

bass pro shops is an equal opportunity employer. hiring decisions are administered without regard to race, color, creed, religion, sex, pregnancy, sexual orientation, gender identity, age, national origin, ancestry, citizenship status, disability, veteran status, genetic information, or any other basis protected by applicable federal, state or local law.

reasonable accommodations

qualified individuals with known disabilities may be entitled to reasonable accommodation under the americans with disabilities act and certain state or local laws.

if you need a reasonable accommodation for any part of the application process, please visit your nearest location or contact us at hrcompliance@basspro.com.

cabela's","lubbock, tx",12890.0,4.0,,part_time,79401,48303,Lubbock,TX
3887485157,mission staffing,administrative assistant,"our client, a global law firm in washington, dc, is seeking an administrative assistant to join their team. this individual will be responsible for supporting attorney retention and engagement across the firm. responsibilities include events management, hr coordination, employee onboarding, event planning, data management, and expense reporting. the ideal candidate will come with at least two years of administrative or human resources experience from a law firm. 

responsibilities:coordinate all aspects of attorney events, including invitation management, room reservations, catering, and materials preparation, in collaboration with the conference center and travel.provide guidance and support to employees on hr-related matters, including policies, procedures, and conflict resolution.assist with various administrative tasks such as filing, label creation, nametag production.identify training needs within the organization and develop training programs to address them.
requirements:bachelor's degree in business administration, human resources, or related field preferred2+ years of experience in administrative support or project coordination roles, preferably within a legal or professional services environmentstrong organizational skills with the ability to multitask and prioritize effectivelyexcellent communication and interpersonal skills, with a customer service-oriented approachproficiency in microsoft office suite and experience with database management systems preferred",washington dc-baltimore area,132319.0,32.0,,full_time,,,,WA
3895598418,harbor freight tools,retail stocking supervisor,"a supervisor (full-time) is a valued member of a high performing team who is empowered & equipped to do their job. you will know why your work matters and be able to take pride in what you do! this role is perfect for you if you have recent leadership experience and are passionate about a career in retail.

the anticipated rate for this position is $23.00 per hour depending on location, knowledge, skills, education and experience. this position is also eligible for a monthly bonus. in addition, we offer comprehensive and competitive benefits to associates (and their families) such as medical, dental, vision, life insurance, short-term and long-term disability. eligible associates are able to enroll in our company’s 401k plan. associates will accrue paid time off up to 152 hours per year (inclusive of pto, floating holidays, and paid holidays). paid sick time up to 64 hours per year unless otherwise required by law.

why you’ll love it

people first culturerespectful schedulingpaid time offbonus opportunityassociate discountscompany matched 401(k)medical/dental/vision insurance additional benefits including has, discounted gym membership, eap and more!closed on thanksgiving, christmas & easterclear path to promotion & continuous leadership developmentstable employment with growing company

what you’ll do:

ensure and model professional customer servicemaintain a safe, clean, and organized storecross-train in all areas of store operations including stocking/sales associate duties, and responsibilitieslead, coach, and develop othersserve as leader on duty as scheduledother duties as assigned

requirementswho you are

must be at least 18 years old.1 year experience in retail leadership role.ability to communicate clearly with customers and associates in person, e-mail, and telephone.ability to intermittently lift, push and/or pull up to 50 pounds, and stand/move for entire shift.ability to lift, bend, kneel, climb, crawl and/or twist, and safely climb up/down a ladder.physically able and willing to become certified to operate a forklift in accordance with iipp. (injury, and illness prevention program)open availability with the ability to work evenings, weekends, and holidays. adherence to attendance policy is necessary.","chino hills, ca",28923.0,5.0,,full_time,91709,06071,Chino Hills,CA
3906097453,bmo u.s.,"director, corporate development","reporting to vp/head of corporate development, working across global enterprise to provide financial solutions and analysis to support enterprise financial and strategic investment initiatives. develops financial models to assess financial and capital impacts of investment decisions. stays informed of global financial services trends and practices to inform financial and business strategy development and support new business development. provides financial advice for bank mergers, acquisitions, new ventures/lines of business, strategic alliances, divestitures, and other initiatives.

acts as a trusted advisor to senior leaders for making business decisions and implementing strategic initiatives.develops an expert understanding of business/group challenges.networks with industry contacts to gather competitive insights and best practices.recommends measures to improve organizational effectiveness.may consult to or serve on various committees and task forces.manages resources and leads the execution of strategic initiatives to deliver on business and financial goals.acts as the prime contact for internal/external stakeholder relationships, which may include regulators.defines business requirements for analytics & reporting to ensure data insights inform business decision making.leads change management programs of varying scope and type, including readiness assessments, planning, stakeholder management, execution, evaluation and sustainment of initiatives.leads the development of the communication strategy focusing on positively influencing or changing behaviour.collaborates across bmo to develop communications strategies and ensure consistency of messaging, in order to positively influence or change behaviour.leads the execution of operational programs; assesses and adapts as needed to ensure quality of execution.provides financial expertise in the development and assessment of business strategies and in support of initiatives, target selection, valuation, structuring and negotiation.identifies emerging issues and trends in financial services and other industry sectors to leverage practices and inform decision-making.breaks down strategic problems, and analyses data and information to provide corporate development-related insights and recommendations.builds effective relationships with internal/external stakeholders.acts as liaison between stakeholders to align agendas and ensure a clear understanding of the business context.supports the development of corporate development / m&a policies, procedures and financial methodologies.monitors and tracks initiative performance and addresses any issues; ensures status is communicated to the group leader and other stakeholders as appropriate.designs and produces regular and ad-hoc reports, and dashboards.executes work to deliver timely, accurate, and efficient service.operates at a group/enterprise-wide level and serves as a senior specialist resource across bmo.influences how teams/groups work together.applies expertise and thinks creatively to address unique or ambiguous situations and to find solutions to multiple, interdependent, complex problems.communicates abstract concepts in simple terms.fosters strong internal and external networks and works with and across multiple teams to achieve business objectives.anticipates trends and responds by implementing appropriate changes.broader work or accountabilities may be assigned as needed. 

qualifications:
typically 9+ years of relevant experience and post-secondary degree in related field of study or an equivalent combination of education and experience.undergraduate or graduate degree in business, finance or accounting preferred.accounting designation is preferred, may be required.seasoned expert with extensive industry knowledge.technical leader viewed as a thought leader for innovation.verbal & written communication skills - expert.analytical and problem solving skills - expert.influence skills - expert.collaboration & team skills; with a focus on cross-group collaboration - expert.able to manage ambiguity.data driven decision making - expert.


compensation and benefits:

$128,000.00 - $238,000.00

pay type:

salaried

the above represents bmo financial group’s pay range and type.

salaries will vary based on factors such as location, skills, experience, education, and qualifications for the role, and may include a commission structure. salaries for part-time roles will be pro-rated based on number of hours regularly worked. for commission roles, the salary listed above represents bmo financial group’s expected target for the first year in this position.

bmo financial group’s total compensation package will vary based on the pay type of the position and may include performance-based incentives, discretionary bonuses, as well as other perks and rewards. bmo also offers health insurance, tuition reimbursement, accident and life insurance, and retirement savings plans. to view more details of our benefits, please visit: https://jobs.bmo.com/global/en/total-rewards

we’re here to help

at bmo we are driven by a shared purpose: boldly grow the good in business and life. it calls on us to create lasting, positive change for our customers, our communities and our people. by working together, innovating and pushing boundaries, we transform lives and businesses, and power economic growth around the world.

as a member of the bmo team you are valued, respected and heard, and you have more ways to grow and make an impact. we strive to help you make an impact from day one – for yourself and our customers. we’ll support you with the tools and resources you need to reach new milestones, as you help our customers reach theirs. from in-depth training and coaching, to manager support and network-building opportunities, we’ll help you gain valuable experience, and broaden your skillset.

to find out more visit us at https://jobs.bmo.com/us/en

bmo is committed to an inclusive, equitable and accessible workplace. by learning from each other’s differences, we gain strength through our people and our perspectives. bmo is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law. accommodations are available on request for candidates taking part in all aspects of the selection process. to request accommodation, please contact your recruiter.

note to recruiters: bmo does not accept unsolicited resumes from any source other than directly from a candidate. any unsolicited resumes sent to bmo, directly or indirectly, will be considered bmo property. bmo will not pay a fee for any placement resulting from the receipt of an unsolicited resume. a recruiting agency must first have a valid, written and fully executed agency agreement contract for service to submit resumes.","chicago, il",164126.0,4.0,,full_time,60601,17031,Chicago,IL
3903473957,university of south florida,general maintenance technician iii,"department number/name: 0-0255-001 / maintenance & special allocation

college division: administrative services-physical plant

salary plan: staff

job code/title: 9943 / general maintenance tech iii

hiring salary/salary range: $51,391

position number: 00003774

organizational summary:

usf's office of administrative services (oas) is made up of the dedicated people who keep our campus, the equivalent of a medium-sized city, moving forward. oas is a service organization and believes that providing excellent customer service starts with an engaged workforce. to that end, we are dedicated to offering opportunities for professional development and growth, providing the job resources necessary for success, fostering open communication and

feedback at all levels, and recognizing the achievements of our team members!

the maintenance and utilities services department provides maintenance and repair for campus facilities. this includes the maintenance and operation of utility systems, plants, and water and electrical distribution systems. the department also manages and monitors all internal utility meters and is responsible for building control systems and infrastructure equipment.

position summary:

general maintenance technician ill may serve as the team lead for three or more employees. the technician is responsible for general repairs and preventative maintenance on usf buildings, structures, and equipment. a variety of skilled and semi-skilled maintenance duties are performed to carry out the essential functions of this position, and mechanics should have experience and/or training in various skilled craft areas. the technician may also be responsible for directing and supervising contractor activities occurring on campus as requested by supervisor. this position reports to a manager, or other appropriate supervisory or management position. this position receives supervision in the form of assignments/work orders, projects, and tasks to be completed. this position requires knowledge gained through prior experience with building systems. works under general supervision while relying on experience and judgment to plan and accomplish goals. primary job functions require exercising independent judgment. exercises a wide degree of creativity and latitude. this position also requires skill in analyzing system malfunctions, determining, and carrying out appropriate repairs. this position is identified as ""essential personnel"" and may be required to report to work during emergencies or when the university is closed. this position may be required to participate in on-call rotation.

responsibilities:

perform corrective maintenance and repair functions including but not limited to: replace lamps and ballasts in light fixtures; clean fixtures of debris; repair roofs, interior walls, windows, doors, floors, and other parts of building structures; tile installation and repair; masonry patching and repair; minor carpentry work; repair and paint plaster, drywall, baseboard, and trim; ceiling tile & grid replacement; manual and electronic door repair; repair and maintain movable walls; install and repair door hardware such as locks and closers; replace/install small machinery such as sump pumps, compressors, etc.; minor electrical to include resetting breakers, testing for power, etc.

perform preventative maintenance & inspections for building areas/systems including but not limited to: roof inspection; classroom emergency door lock test & inspection; inspect floor drains and grates.; general classroom inspections; perform interior and exterior building inspections; perform ada, automatic and fire door inspections.

furniture repair/installation: hang shelves, pictures, clocks, bulletins boards, white boards, flags etc.; install signage; perform cabinet, desk, table, chair repair or installation as required.

compile data for efficiency analysis, future planning, and troubleshooting. assist leadership with institutional/historical knowledge for system design and future planning. may be required to co-ordinate, manage and monitor contractor activities for projects during their planning and implementation. review building plans and participate in walkthroughs of new construction.

minor plumbing to include unclogging drains, sinks, and toilets, turning off water to areas in emergencies. water intrusion investigations/mitigations (roof, window, and plumbing); repair faucets, replace batteries in automatic fixtures, and repair minor leaks.

performs other duties as assigned.

position qualifications:

minimum:

high school diploma or equivalent; and four years of appropriate building maintenance experience; appropriate vocational/technical training may substitute at an equivalent rate for the required experience. valid florida class e operator (driver) license.

preferred:

high school diploma and six years of general maintenance experience in commercial building environment. knowledge of complex building maintenance procedures for various trades. experience leading a team.

special skills/training:

competent, responsive, helpful, and self-starting team player with the ability to learn and develop new skills. compliance with operational policies and safe work practices. ability to lead a team, provide coaching and/or mentoring to a group or individual. using and maintaining hand and power tools. oral and written communication skills. familiarity with industry standards and technical expertise. basic level proficiency in ms office suite and other industry standard software.

information for applicants 

this position is subject to a level 1 criminal background check.

job opening number: 36774

posting date: 04/18/2024

posting end date: 05/02/2024

how to claim veteran's preference:

this position allows eligible veterans and their spouses to claim veterans’ preference pursuant to florida statute 295.

applicants claiming preference are responsible for providing required documentation at the time of submitting application; such documentation is required for eligibility determination.

supporting documentation, in addition to the dd214, may be required based on eligibility criteria. if you are submitting a dd 214, please ensure the social security number and date of birth is redacted/removed.

for information on obtaining a dd 214 visit http://www.archives.gov/veterans/military-service-records/ or call 1-866-272-6272.

how to apply

click on the apply now button. when applying to an opening you will have the opportunity to upload a cover letter and resume.

apply online by completing the required information and attaching your cover letter and resume. please include your experience as it relates to the qualifications stated above. your cover letter and resume, plus any other requested material, must be in one attachment. only online applications are accepted for this position.

click here for additional tutorial information.

to request an accommodation with the application or interview process, please contact central human resources by telephone: 813-974-2970 or email hr-ada-request@usf.edu.

equal employment opportunity 

usf is an equal opportunity, equal access academic institution that embraces diversity in the workplace.

the university of south florida does not discriminate on the basis of sex and prohibits sexual harassment. any person may report sex discrimination, including sexual harassment (whether or not the person reporting is the person alleged to be the victim of conduct that could constitute sex discrimination or sexual harassment), in person, by mail, by telephone, or by electronic mail, using the contact information listed for the title ix coordinator. reports may be made at any time either online or directly to the university's title ix coordinator.

usf's equal opportunity affirmative action statement.

federal rights

applicants have rights under federal employment laws: family and medical leave act (fmla), equal employment opportunity (eeo) and employee polygraph protection act (eppa).

work location 

campus map and location overview: usf - tampa campus

about usf

the university of south florida is a high-impact global research university dedicated to student success. over the past 10 years, no other public university in the country has risen faster in u.s. news and world report's national university rankings than usf. serving more than 50,000 students on campuses in tampa, st. petersburg and sarasota-manatee, usf is designated as a preeminent state research university by the florida board of governors, placing it in the most elite category among the state's 12 public universities. usf is a member of the american athletic conference.

working at usf

with more than 16,000 employees at usf, the university of south florida is one of the largest employers in the tampa bay region. at usf you will find opportunities to excel in a rich academic environment that fosters the development and advancement of our employees. we believe in creating a talented, engaged and driven workforce through on-going development and career opportunities. we also offer a first class benefit package that includes medical, dental and life insurance plans, retirement plan options, tuition program and generous leave programs and more.

to learn more about working at usf please visit: work here. learn here. grow here.

connect with us:","tampa, fl",166671.0,4.0,,full_time,33602,12057,Tampa,FL
3901989076,ingersoll rand,deburr technician - 3rd shift,"deburr technician

3rd shift sun-thurs 9:00pm to 7:00am

pay starts at $20/hr, and can go up based upon experience!

deburr technician - 3rd shift

location

onsite at sidney oh

job summary

perform all operations necessary to clean machine parts. pile material in baskets or rack, load on conveyor, unload conveyor and pile or stack material in boxes or on skids using necessary precautions so that polished or machined surfaces are protected. mix solutions, regulate temperature, remove chips or shavings by scraping or blowing. comply with product and process characteristics defined in prints, routings, specs, bom and documented procedures.

responsibilities

 use visual inspection to verify the cosmetic appearance accept and reject the work in-process generate a defect report or notify area manager if the work does not comply with reference standards and forward the dr to the material review board per the quality system manual follow instructions for handling, storage, packaging, preservation and delivery of products as illustrated on wall charts in work area notify area manager regarding changes or addition to procedures or work instructions

basic qualifications

 high school diploma or equivalent. 2 - 4 years’ experience in assembly or other fast paced operations preferred. basic mechanical aptitude.

travel & work arrangements/requirements

 fully site based

key competencies

 ability to read and comprehend simple instructions. ability to use various power (pneumatic) hand tools (i.e.; power screwdriver, socket etc.) ability to understand blueprints. computer literate ability and willingness to stand, squat or kneel at the work area ability to use a hoist when required if lifting over 40 lbs

what we offer

 competitive pay medical and prescription drug plans wellness and chronic disease management programs dental & vision employer paid life/ad&d insurance short- and long-term disability health savings account flexible spending account enhanced parental leave employee assistance program discount program employee stock grant 401k plan with a company match paid vacation 11 paid holidays throughout the calendar year voluntary benefits include legal, accident and critical illness protection tuition reimbursement

at ingersoll rand we foster inspired teams. as a powerful and progressive global industrial company, we are looking for talented candidates with a bias for action and an entrepreneurial spirit to join our team. our employees are empowered to act as owners every day for our customers, our communities and themselves. we offer a broad range of opportunities to build a successful and rewarding career with an innovative company. join us at the new and exciting ingersoll rand.

ingersoll rand inc. (nyse:ir), driven by an entrepreneurial spirit and ownership mindset, is dedicated to helping make life better for our employees, customers, and communities. customers lean on us for our technology-driven excellence in mission-critical flow creation and industrial solutions across 40+ respected brands where our products and services excel in the most complex and harsh conditions. our employees develop customers for life through their daily commitment to expertise, productivity, and efficiency. for more information, visit www.irco.com.

ingersoll rand is committed to achieving workforce diversity reflective of our communities. we are an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations, and ordinances.","sidney, oh",3175.0,3.0,,full_time,45365,39149,Sidney,OH
3902843828,ablelight,learning & development specialist,"put your heart to work! 

at ablelight, we believe the world shines brighter when people with developmental disabilities achieve their full potential. we pioneer life-changing services that empower the people we serve to thrive.

the learning & development specialist p rovides consultation to internal stakeholders to develop, implement, evaluate and measure a range of job specific and required learning. this may also include assessing and refreshing current learning material and content to meet the needs of the business and regulatory requirements. leverages and deploys a blend of best-practice learning principles for ablelight’s workforce.

 requirements: 

 bachelor’s degree required.  1+ years training experience (delivery, content development, and/or lms management).  intermediate fluency of ms office programs such as outlook, excel, word, teams, and powerpoint.  experience in the intellectual developmental disabilities industry, is preferred.  must be able to successfully obtain specified certification(s) within designated timeframe(s) as determined by ablelight such as cpr | first aid instructor and positive behavior supports.  ability to align learning content with policies and standard operating procedures (sops).  ability to collaborate and work effectively in a diverse work group and with a wide range of audiences consisting of different generations, cultures, and learning styles.  effective group facilitation and internal consulting skills.  exceptional verbal and written communication skills to interact with the organization leaders, business/function unit leaders, clinicians, and team members at all levels.  knowledge of adult learning principles and development strategies.  maintain a positive attitude and be solution oriented.  retrieve, organize and compile learning information in support of compliance/audit related activities.  skilled in developing, implementing, assessing, and operationalizing learning programs for scale and sustain across geographies. this also includes making recommendations for sufficient instructors to be established and maintained in various topics throughout the programs.  uses the ms office suite (outlook, word, excel, teams and powerpoint)  ability and willingness to work a flexible schedule, as needed, including occasional evenings and weekends.  ability to travel up to 20%.  work from home position with residency in one of our primary states of operations: wisconsin, california, colorado, kansas, minnesota, missouri, oregon, or washington. 

 benefits: 

we support the whole person and have designed our benefits with you and your family's total well-being in mind:

 health and wellness: medical, dental, and vision benefits starting the first of the month following 30 days of employment and access to teledoc.  financial wellness: 403(b) retirement savings plan with 3.5% matching contributions, health savings account, flexible savings account, and basic life, ad&d, std, and ltd insurance  work/life balance: paid time off (pto), tuition reimbursements  we are now also offering any day pay. with dayforce wallet, you get access to your pay as soon as you've earned it at no additional cost to you. 

 responsibilities: 

 consults and partners with business leaders and internal stakeholders to effectively analyze and prioritize organizational learning.  develops and supports learning curriculum to ensure alignment with organizational needs by leveraging various training methods and resources, in addition to developing training evaluation methods.  works directly with other functional and operations teams to ensure compliance training is meeting the needs of people supported and regulatory requirements.  jointly administers the learning documentation and certifications in the lms/relias.  maintains l&d developed training documentation such as learning guides visual aids, checklists, job aids, etc.  evaluates the effectiveness of learning strategies and solutions, assesses the impact on the business, and utilizes this information to make recommendations for improvements. 

 be part of a team who enhances the lives of our individuals in every way possible. apply today and make a difference in your community! 

blc123

apply now","wisconsin, united states",77982542.0,1.0,,full_time,,,,WI
3903449028,national audubon society,"senior manager, coastal resilience","job description

position summary

the senior manager, coastal resilience will be responsible for leading audubon’s efforts to restore, enhance, and manage priority coastal habitats for the benefit of salt marsh-dependent bird species and to increase coastal resilience on long island. the position is part of the audubon connecticut and new york conservation team and will be based at the theodore roosevelt audubon center and sanctuary in oyster bay, ny.

compensation

$84,000-$94,000 / year

additional job description

essential functions

as part of audubon’s coast program, lead the salt marsh and coastal resilience initiative in new york.establish clear program goals and objectives that address bird conservation priorities, impacts of sea-level rise, volunteer and community engagement, and financial outcomes for the coastal resilience initiative. develop goals and objectives in close collaboration with ct coastal resilience staff.develop new strategies and programmatic elements to deepen the impact and raise the visibility of audubon’s coastal resilience program.identify, plan, and implement new and ongoing salt marsh restoration projects, which will involve:develop request for proposals (rfps), bid packages, and contracts required to implement salt marsh restoration/enhancement project(s).oversee construction contracts and engineering firms completing permitting and design for salt marsh restoration or enhancement project(s)coordinate project teams to ensure regular communication, free exchange of ideas, and successful problem solving to implement projects.lead or work with partners and seasonal staff to complete pre-and post-response monitoring (e.g., bird, vegetation, elevation, and hydrology) at restoration sites.work with audubon ct and ny staff and other partners to identify new restoration projects for audubon to pursue.work with land trusts and other agencies to protect marsh migration corridors through land acquisitions or conservation easements.represent audubon in coastal resilience focused working groups and coalitions to foster partnerships, exchange knowledge, lessons learned, and best management practices, and facilitate the implementation of and funding for future restoration projects.integrate community engagement and audubon’s edib principles into our coastal resilience projects.develop close working relationships with coastal ngos, state and federal agency partners, and community leaders/stakeholders. develop partnerships that increase conservation impact.working with development staff, play a leadership role in fundraising, grant administration, and engaging donors and foundations to support the projects and coastal resilience initiative.work with finance staff to develop, track and manage the program’s budget, expenses, and secured funding.work with state and national policy staff to advocate for the protection of coastal habitats and natural solutions to coastal flooding and erosion through policy solutions and federal funding (e.g., fema and nrcs funding).effectively communicate about coastal resilience issues (including sea level rise as a threat to priority bird species, the importance of salt marsh conservation, negative impacts of shoreline hardening, and natural solutions to shoreline stabilization) to elected and municipal officials, partners, media, and the public via presentations and written materials for internal and external audiences. e.g., contribute to press releases, articles, outreach materials, and content for social media. work directly with the communication manager on communication campaigns.represent audubon and create and deliver effective presentations at conferences, regional councils, and working groups meetings.provide expertise on the restoration or enhancement of salt marshes to benefit priority birds and improve marsh health.provide the expertise and research issues as needed to effectively comment on state and federal management plans related to coastal resilience.supervise seasonal staff and assist with volunteer coordination and volunteer events. may also supervise full-time staff.collaborate with audubon’s regional (ct/ny) and national staff, as well as audubon chapter leaders to support policy, communications, and network priorities related to coastal resilience.participate fully and productively in staff meetings, planning efforts, and other shared staff.
qualifications and experience

master’s degree in conservation, wildlife, or natural resources field or equivalent, plus five years of relevant work experience. an equivalent combination of education and experience will be considered.familiarity with coastal resilience and adaptation issues and natural coastal processes required, knowledge of saltmarsh sparrow habitat needs and conservation issues a plus.project management experience including fiscal management, managing project deliverables, reporting on progress, and writing grant proposals. the ability to manage multiple projects and prioritize is essential.proven experience with the restoration of coastal habitats and managing habitat restoration or enhancement projects required; experience managing a salt marsh restoration or enhancement project is highly preferred.familiarity with governmental permit processes for habitat or other related projects, preferably in the state of new york.experience developing proposals for foundations, individual donors, and federal sources and tracking progress on those to effectively report out. experience managing federal grants is strongly desired.must be self-motivated, organized, and reliable, with the ability to work independently as well as part of a team.strong communication skills including public speaking, public presentation, and writing skills and ability to synthesize and communicate technical and complex information to both technical and non-technical audiences.willingness to work occasional weekends and evenings as the job demands.

eeo statement

the national audubon society is a federal contractor and an equal opportunity employer (eoe). all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status. we are committed to a policy of nondiscrimination, inclusion and equal opportunity and actively seek a diverse pool of candidates in this search.

accessibility statement

the national audubon society endeavors to keep our careers site accessible to any and all users. if you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact accommodations@audubon.org. this contact information is for accommodation requests only and cannot be used to inquire about the status of applications.","oyster bay cove, ny",20922.0,5.0,,full_time,11771,36059,Oyster Bay,NY
3905842562,macrohire,principal reverse engineer (embedded software),"we are hiring principal reverse engineer (embedded software) for one of our client. details mentioned below :
job description :
design and deploy secure system solutions through novel cpu design, crypto cores, purpose-built system-on-a-chip architectures and hardened operating systems. our client’s solutions are the foundation for how military systems will remain safe and secure in the conflicts of the future.
you will:deep dive into software, firmware, and hardware components to understand their architecture, functionality, and communication protocols.analyze assembly language, machine code, and source code to decipher complex algorithms, uncover hidden features, and identify security flaws.specialize in identifying vulnerabilities unique to embedded systems, including buffer overflows, stack vulnerabilities, and memory leaks.utilize advanced development/debugging tools, e.g., c compliers, linkers, in-circuit debug, logic analyzersdocument reverse engineering efforts and resultswork individually and with a team to complete tasks
your experience:a bachelor’s degree in computer science, electrical engineering, or a related field.expert in embedded c programming.proficient in one or more assemble languages.familiarity with embedded systems architecture, microcontrollers, and real-time operating systems.experience with reverse engineering tools and techniques (e.g., ida pro, ghidra, jtag debugging).strong problem-solving skills and the ability to think creatively to find solutions.
preferred qualifications & experience:active us security clearanceknowledge of cybersecurity principles and best practicesworking knowledge of applied cryptographyexpertise using xilinx vivadoexpertise in additional software programming languages, e.g. pythonembedded system design experienceoperating systems experience","boise, id",14548179.0,3.0,,full_time,83702,16001,Boise,ID
3904955205,intelliswift software,information technology asset manager,"qualifications:• strong financial, communication and presentation skills demonstrating the ability to adapt to shifting priorities while maintaining a high level of service.• general knowledge of procurement lifecycle and associated processes.• understanding of asset management life cycle and related applicationshave some experience using sevicenow and ariba applications.
responsibilities:• participate in training for use of asset management tooling to ensure adherence to policy, standards, processes, and strategic priorities for the bank’s it assets.• maintain current information related to bank’s it assets, periodically review system information with the business owners and certify annually the accuracy and currency of the information maintained in the asset management systems of record.• provide metrics and reporting on the technology assets.• participate in new and ongoing itam initiatives.","new york, ny",30324.0,91.0,,contract,10001,36061,New York,NY
